2024-12-13 10:50:35,588 - INFO - Servidor iniciado e escutando na porta 5000...
2024-12-13 10:53:04,192 - INFO - Conex�o estabelecida com ('127.0.0.1', 62994)
2024-12-13 10:53:04,192 - INFO - Clientes ativos: 1
2024-12-13 10:53:08,357 - INFO - Mensagem recebida de ('127.0.0.1', 62994): andrei
2024-12-13 10:54:34,449 - INFO - Mensagem enviada para ('127.0.0.1', 62994): andrei
2024-12-13 10:54:57,239 - INFO - Mensagem recebida de ('127.0.0.1', 62994): andrei
2024-12-13 10:56:20,682 - INFO - Mensagem enviada para ('127.0.0.1', 62994): joia
2024-12-13 10:58:16,559 - INFO - Servidor iniciado e escutando na porta 5000...
2024-12-13 11:09:37,404 - INFO - Monitoramento: CPU 41.7% | Memória 79.5% | Clientes ativos 2
2024-12-13 11:09:42,408 - INFO - Monitoramento: CPU 21.9% | Memória 79.3% | Clientes ativos 2
2024-12-13 11:09:47,416 - INFO - Monitoramento: CPU 32.5% | Memória 79.2% | Clientes ativos 2
2024-12-13 11:09:52,422 - INFO - Monitoramento: CPU 47.1% | Memória 79.2% | Clientes ativos 2
2024-12-13 11:09:57,427 - INFO - Monitoramento: CPU 62.3% | Memória 76.0% | Clientes ativos 2
2024-12-13 11:10:02,431 - INFO - Monitoramento: CPU 59.3% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:10:07,435 - INFO - Monitoramento: CPU 35.1% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:10:12,439 - INFO - Monitoramento: CPU 46.0% | Memória 76.4% | Clientes ativos 2
2024-12-13 11:10:17,444 - INFO - Monitoramento: CPU 46.4% | Memória 76.4% | Clientes ativos 2
2024-12-13 11:10:22,449 - INFO - Monitoramento: CPU 29.0% | Memória 76.7% | Clientes ativos 2
2024-12-13 11:10:27,453 - INFO - Monitoramento: CPU 26.8% | Memória 76.2% | Clientes ativos 2
2024-12-13 11:10:32,457 - INFO - Monitoramento: CPU 41.6% | Memória 76.4% | Clientes ativos 2
2024-12-13 11:10:37,461 - INFO - Monitoramento: CPU 40.0% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:10:42,466 - INFO - Monitoramento: CPU 36.4% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:10:47,471 - INFO - Monitoramento: CPU 32.4% | Memória 76.6% | Clientes ativos 2
2024-12-13 11:10:52,474 - INFO - Monitoramento: CPU 42.9% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:10:57,478 - INFO - Monitoramento: CPU 35.8% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:11:02,482 - INFO - Monitoramento: CPU 42.4% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:11:07,486 - INFO - Monitoramento: CPU 35.8% | Memória 76.5% | Clientes ativos 2
